,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
416,Nabire,56,ID,1548918933,63,-3.36,135.5,83.11,2.82
417,Sao Miguel do Araguaia,44,BR,1548918263,84,-13.28,-50.16,73.17,2.71
418,Saint George,75,GR,1548917400,87,39.45,22.34,44.6,5.82
419,Luebo,64,CD,1548918934,94,-5.35,21.42,71.82,2.37
420,Longyan,24,CN,1548918934,66,25.1,117.03,67.68,2.71
421,Kitimat,90,CA,1548914400,98,54.02,-128.69,32,1.7
422,Broome,90,GB,1548917760,92,52.47,1.45,26.6,3.36
423,Golden,24,CA,1548918762,93,51.3,-116.96,5.76,0.92
424,Yertarskiy,76,RU,1548918935,74,56.79,64.3,-6.4,6.85
425,Egvekinot,20,RU,1548918577,33,66.32,-179.17,-23.41,2.59
426,Azare,0,NG,1548918936,33,11.67,10.19,57.24,8.75
427,Northam,20,GB,1548917400,100,51.04,-4.21,28.4,1.12
429,Fallon,90,US,1548917760,83,46.84,-105.12,14,3.36
431,Aswan,0,EG,1548918937,76,24.09,32.9,51.3,7.74
433,Yulara,0,AU,1548914400,8,-25.24,130.99,104,13.87
434,Superior,1,US,1548918360,25,39.95,-105.17,44.6,10.29
435,Jiaocheng,8,CN,1548918938,66,24.68,116.14,70.11,4.5
436,Kathu,44,ZA,1548918693,94,-27.7,23.05,65.25,6.17
437,Hobyo,8,SO,1548918939,74,5.35,48.53,78.57,19.71
439,Nelson Bay,0,AU,1548916200,26,-32.72,152.14,96.8,16.11
440,Cheney,90,US,1548917880,100,47.49,-117.58,30.02,3.36
441,Wajir,20,KE,1548918000,58,1.75,40.07,84.2,6.93
442,Santa Lucia,40,IT,1548914100,66,39.93,9.66,50,14.99
443,Clarence Town,0,AU,1548916200,26,-32.59,151.78,96.8,16.11
445,Alexander City,1,US,1548917700,87,32.94,-85.95,30.92,2.15
446,Port Blair,32,IN,1548918564,99,11.67,92.75,82.71,13.89
447,Mitzic,92,GA,1548918942,98,0.78,11.55,72,2.71
448,Teahupoo,75,PF,1548918000,74,-17.83,-149.27,82.4,11.41
449,Itaituba,20,BR,1548918942,96,-4.26,-55.99,74.83,2.37
450,Ribas do Rio Pardo,24,BR,1548918942,78,-20.45,-53.76,74.79,5.61
451,Hay River,75,CA,1548914400,69,60.82,-115.79,-9.41,16.11
452,Shevchenkove,90,UA,1548916200,95,49.7,37.18,32,13.42
453,Belaya Gora,0,RU,1548918464,0,68.54,146.19,-55.22,2.48
454,Baruun-Urt,0,MN,1548918944,31,46.68,113.28,13.41,19.71
455,Kassala,0,SD,1548918853,67,15.45,36.38,71.01,5.28
456,Alofi,92,NU,1548914400,78,-19.06,-169.92,80.6,8.05
457,Vilhena,92,BR,1548918944,95,-12.74,-60.15,69.39,2.71
458,Ulaangom,0,MN,1548918945,56,49.98,92.07,11.38,1.7
459,Zeya,44,RU,1548918945,46,53.74,127.27,-8.65,3.15
460,Vilyuysk,8,RU,1548918904,46,63.75,121.63,-28.67,3.6
461,Qaqortoq,0,GL,1548917400,41,60.72,-46.03,19.4,16.46
462,Namatanai,20,PG,1548918946,97,-3.66,152.44,84.55,13.89
463,Zonguldak,40,TR,1548917400,62,41.25,31.83,51.8,2.24
464,Enterprise,40,US,1548917760,99,31.32,-85.86,33.98,2.93
466,Suez,0,EG,1548918726,68,29.97,32.54,40.36,2.48
467,Tuy Hoa,68,VN,1548918830,88,13.08,109.3,75.28,13.44
468,Sioux Lookout,5,CA,1548914400,65,50.1,-91.92,-32.81,4.94
469,Antofagasta,0,CL,1548914400,73,-23.65,-70.4,71.6,5.82
470,Huarmey,56,PE,1548918513,88,-10.07,-78.15,64.21,1.7
471,Marystown,92,CA,1548918948,99,47.17,-55.16,33.16,23.4
472,Balakhta,36,RU,1548918948,80,55.38,91.62,3.24,7.07
473,Borba,20,PT,1548914400,93,38.81,-7.46,53.6,10.29
474,Mumford,20,GH,1548918537,95,5.26,-0.76,77.13,4.38
475,Salekhard,0,RU,1548918949,0,66.54,66.62,-44.69,2.93
476,Grenville,75,CA,1548914400,58,45.62,-74.6,1.4,6.93
477,Xuanzhou,88,CN,1548918949,79,30.95,118.78,43.65,10.65
478,San Patricio,0,PY,1548918503,64,-26.98,-56.83,79.51,2.93
479,Dunedin,0,NZ,1548918386,40,-45.87,170.5,87.88,10.09
480,Mao,40,DO,1548914400,100,19.55,-71.08,69.8,4.7
481,Cabedelo,40,BR,1548914400,88,-6.97,-34.84,77,5.82
482,Seoul,20,KR,1548916200,20,37.57,126.98,35.6,5.82
483,Lae,75,PG,1548914400,70,-6.72,146.98,86,20.8
484,Rosita,92,NI,1548918951,92,13.92,-84.4,70.6,4.61
485,Pisco,0,PE,1548914400,94,-13.71,-76.2,73.4,5.82
486,Klaksvik,48,FO,1548917400,92,62.23,-6.59,24.8,1.12
487,Bend,1,US,1548917760,92,44.06,-121.32,28.4,2.48
488,Ca Mau,0,VN,1548918952,69,9.18,105.15,87.3,15.46
489,Berezovyy,68,RU,1548918952,55,51.67,135.7,5.67,3.27
490,Yarada,0,IN,1548916200,48,17.65,83.27,82.4,10.29
491,Shache,44,CN,1548918953,74,38.42,77.24,24.57,4.61
492,Ongandjera,12,NA,1548918953,97,-17.88,15.07,67.5,7.63
493,Kharp,0,RU,1548918954,0,66.82,65.8,-45.5,2.93
494,Matveyevka,20,UA,1548918954,96,45.75,33.81,37.35,3.6
495,Yatou,40,CM,1548914400,100,3.63,9.81,77,3.36
496,College,1,US,1548914280,79,64.86,-147.8,19.04,6.93
497,Atasu,80,KZ,1548918954,96,48.68,71.64,16.78,12.77
498,Vanimo,48,PG,1548918489,100,-2.67,141.3,82.53,16.24
499,Marquette,1,US,1548917880,64,46.54,-87.4,-7.07,6.93
501,Luganville,80,VU,1548918955,100,-15.51,167.18,77.76,5.95
502,Wadi Musa,0,JO,1548917400,39,30.32,35.48,50,5.82
503,Pansemal,8,IN,1548918956,44,21.66,74.7,73.3,5.84
504,Monywa,0,MM,1548918956,68,22.12,95.13,76.18,10.2
505,Mayo,5,CA,1548914400,59,63.59,-135.9,3.2,6.93
506,Turbat,0,PK,1548918957,37,26,63.05,69.57,4.27
507,Boralday,90,KZ,1548918000,93,43.36,76.86,37.4,8.95
508,Harper,90,US,1548917700,82,30.3,-99.24,46.4,10.29
509,Kalmunai,92,LK,1548918481,83,7.42,81.82,79.02,7.96
510,Port Hardy,90,CA,1548914400,75,50.7,-127.42,44.6,5.82
511,San Jose,44,PH,1548918959,83,15.79,120.99,75.78,3.71
512,Ust-Nera,0,RU,1548918959,0,64.57,143.24,-49.42,2.04
513,Moita,75,PT,1548916200,93,38.65,-8.99,57.2,12.75
514,Xiaoyi,0,CN,1548918960,38,37.15,111.77,24.88,9.98
515,Conde,92,BR,1548918343,89,-11.81,-37.61,78.48,6.73
518,Valdemarpils,90,LV,1548917400,100,57.37,22.59,23,3.36
519,Balabac,24,PH,1548918961,95,7.99,117.06,81.9,13.56
520,Manica,20,MZ,1548918000,69,-18.94,32.88,75.2,2.24
521,Mangai,64,CD,1548918962,94,-4.07,19.59,73.93,2.71
522,Freeport,80,BS,1548918962,100,26.54,-78.7,70.06,12.1
523,Charlestown,0,US,1548917640,44,41.38,-71.64,8.06,13.87
524,Atar,0,MR,1548918545,49,20.52,-13.05,45.9,3.6
525,Novoagansk,8,RU,1548918487,0,61.94,76.66,-36.1,4.16
526,Dongsheng,12,CN,1548918963,76,29.72,112.52,45.99,13.89
527,Sangmelima,44,CM,1548918963,98,2.93,11.98,68.08,2.37
528,Rabo de Peixe,75,PT,1548916200,93,37.8,-25.58,60.8,24.16
529,Ixtapa,5,MX,1548916920,100,20.71,-105.21,66.2,2.93
530,Banda Aceh,76,ID,1548918964,81,5.56,95.32,81.72,4.38
531,Christchurch,12,NZ,1548918000,77,-43.53,172.64,68,13.87
532,Chibombo,32,ZM,1548918965,80,-14.68,28.09,70.47,5.17
533,Cayenne,100,GF,1548916200,94,4.94,-52.33,75.2,8.86
534,Mount Gambier,40,AU,1548914400,34,-37.83,140.78,66.2,17.22
535,San Ignacio,0,CL,1548918000,71,-36.8,-72.03,57.2,10.29
536,Porosozero,80,RU,1548918966,82,62.72,32.71,18.9,3.38
537,Janoshalma,90,HU,1548915300,100,46.3,19.33,30.2,5.82
538,Hinton,0,CA,1548918967,69,53.4,-117.57,25.02,4.27
539,Iroquois,1,US,1548917700,63,40.83,-87.58,-9.41,6.96
540,Nanning,90,CN,1548914400,77,22.83,108.3,69.8,4.47
541,Vestmannaeyjar,40,IS,1548916380,54,63.44,-20.27,30.2,6.93
542,Buraydah,75,SA,1548914400,100,26.33,43.97,57.2,5.82
543,Sisimiut,0,GL,1548918968,100,66.94,-53.67,-6.85,3.27
544,Obo,76,CF,1548918968,96,5.39,26.49,69.03,6.17
545,Tilichiki,0,RU,1548918969,69,60.47,166.1,1.53,6.96
546,Suntar,12,RU,1548918969,33,62.16,117.65,-22.42,5.39
547,Uvira,0,CD,1548918969,100,-3.41,29.14,68.22,3.04
548,Saurimo,75,AO,1548914400,83,-9.66,20.4,69.8,4.7
549,Nara,75,JP,1548918000,87,34.68,135.8,42.8,6.93
550,Camargo,48,MX,1548918970,36,27.69,-105.17,49.68,7.4
551,Port Keats,12,AU,1548918971,71,-14.25,129.55,91.98,17.58
552,Vardo,1,US,1548917580,37,39.62,-77.74,8.6,9.17
553,Bandarbeyla,92,SO,1548918525,100,9.49,50.81,74.56,18.03
554,Qasigiannguit,56,GL,1548917400,65,68.82,-51.19,6.8,12.75
555,Zhob,80,PK,1548918972,99,31.34,69.45,31.95,3.71
556,Ballina,0,IE,1548918000,92,54.11,-9.15,30.2,12.75
557,Yerbogachen,44,RU,1548918490,28,61.28,108.01,-19.67,5.61
558,Katangli,80,RU,1548918972,89,51.71,143.23,22.59,18.14
559,Pringsewu,12,ID,1548918973,90,-5.36,104.98,82.75,1.03
560,Arcani,88,RO,1548918973,92,45.08,23.13,34.2,1.7
561,Kontagora,0,NG,1548918973,79,10.4,5.47,67.14,3.83
562,Jiuquan,0,CN,1548918537,52,39.73,98.49,14.58,2.26
563,Carlsbad,75,CZ,1548916200,79,50.23,12.87,26.6,3.36
564,Caucaia,40,BR,1548918000,88,-3.73,-38.66,80.6,9.17
565,Wilmington,1,US,1548917760,54,39.75,-75.55,9.14,5.82
566,Kiruna,36,SE,1548917400,75,67.86,20.23,-18.41,4.7
567,Clyde River,90,CA,1548914400,83,70.47,-68.59,-11.21,4.7
569,Puri,20,ID,1548916200,62,-7.54,112.45,87.8,8.05
571,Francavilla Fontana,20,IT,1548917400,80,40.53,17.58,42.8,10.29
572,San Luis,0,AR,1548918976,67,-33.3,-66.34,75.28,5.95
573,Kangalassy,90,RU,1548918000,65,62.35,129.97,-34.61,2.24
574,Great Falls,1,US,1548917880,50,47.5,-111.29,32,13.87
575,Churapcha,12,RU,1548918977,0,62,132.43,-32.68,2.93
577,Eyl,44,SO,1548918978,92,7.98,49.82,75.69,17.69
578,Neuquen,0,AR,1548918000,32,-38.95,-68.06,68,8.05
579,Vestmanna,48,FO,1548917400,92,62.16,-7.17,24.8,1.12
580,Aguimes,75,ES,1548916200,59,27.91,-15.45,62.6,13.87
581,Lamesa,1,US,1548916500,69,32.74,-101.95,31.28,5.82
582,Ruteng,32,ID,1548918979,96,-8.61,120.46,78.61,5.39
583,Alenquer,20,BR,1548918000,100,-1.95,-54.74,77,3.36
585,Umm Lajj,0,SA,1548918502,100,25.02,37.27,65.2,8.52
586,Vostok,44,RU,1548918580,46,46.45,135.83,2.07,7.96
587,Okhotsk,48,RU,1548918981,100,59.36,143.24,-5.99,9.75
589,Hambantota,20,LK,1548915000,62,6.12,81.12,89.6,13.87
592,Samarai,32,PG,1548918982,100,-10.62,150.67,84.73,15.23
593,Gat,8,SN,1548916200,82,14.69,-16.54,64.4,18.34
594,San Juan,8,AR,1548918984,70,-31.54,-68.53,70.56,4.16
596,Anito,20,PH,1548918984,95,12.45,125.29,80.23,12.88
597,Cochabamba,75,BO,1548918000,72,-17.39,-66.16,59,4.7
598,Vao,76,EE,1548918985,92,59.1,26.19,24.16,3.94
599,Cairo,0,EG,1548916200,35,30.05,31.24,55.4,5.82
600,Esso,36,RU,1548918469,87,55.93,158.7,8.73,1.7
602,Yumen,0,CN,1548918986,80,40.29,97.04,14.35,8.19
603,Rabaul,56,PG,1548918986,96,-4.2,152.17,84.42,10.87
604,Qitaihe,32,CN,1548918987,28,45.77,131.01,8.41,14
605,Fort Nelson,90,CA,1548914400,84,58.81,-122.69,3.2,8.05
606,Mariana,0,BR,1548918987,92,-20.38,-43.42,65.38,3.38
